"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05659002","SAN JUANCITO","COL-"
"05659003","UVEROS","COL-"
"05659004","SIETE VUELTAS","COL-"
"05659005","SAN NICOLÁS DEL RÍO","COL-"
"05660000","SAN LUIS","COL-"
"05660001","EL SILENCIO","COL-"
"05660006","EL PRODIGIO","COL-"
"05660007","BUENOS AIRES","COL-"
"05660008","ALTA VISTA","COL-"
"05660010","SALAMBRINA","COL-"
"05660011","MONTELORO (LA JOSEFINA)","COL-"
"05660012","LA TEBAIDA","COL-"
"05660013","SOPETRAN","COL-"
"05664000","SAN PEDRO DE LOS MILAGROS","COL-"
"05664001","LA CUCHILLA","COL-"
"05664002","LA PALMA","COL-"
"05664004","EL ESPINAL","COL-"
"05664005","OVEJAS","COL-"
"05664006","LA LANA","COL-"
"05664007","PANTANILLO","COL-"
"05664008","ROO CHICO","COL-"
"05665000","SAN PEDRO DE URABÁ","COL-"
"05665002","SANTA CATALINA","COL-"
"05665003","ARENAS MONAS","COL-"
"05665004","ZAPINDONGA","COL-"
"05665008","EL TOMATE","COL-"
"05667000","SAN RAFAEL","COL-"
"05667002","EL BIZCOCHO","COL-"
"05670000","SAN ROQUE","COL-"
"05670001","CRISTALES","COL-"
"05670002","PROVIDENCIA","COL-"
"05670003","SAN JOSÉ DEL NUS","COL-"
"05674000","SAN VICENTE","COL-"
"05674001","CORRIENTES","COL-"
"05679000","SANTA BÁRBARA","COL-"
"05679001","DAMASCO","COL-"
"05679004","VERSALLES","COL-"
"05679009","YARUMALITO","COL-"
"05686000","SANTA ROSA DE OSOS","COL-"
"05686001","ARAGÓN","COL-"
"05686003","HOYO RICO","COL-"
"05686004","SAN ISIDRO","COL-"
"05686006","SAN PABLO","COL-"
"05686008","ROO GRANDE","COL-"
"05686010","EL CANEY","COL-"
"05686012","EL CHAQUIRO","COL-"
"05686013","LA CEJITA","COL-"
"05686014","MALAMBO","COL-"
"05690000","SANTO DOMINGO","COL-"
